date,revenue_sum_sum,revenue_mean_mean,orders_sum_sum,orders_mean_mean,customers_sum,period_label,revenue_pct_change,orders_pct_change
2024-01-31,1148656.03,37053.42,11673,376.55,8772,2024-01-31,,
2024-02-29,1100443.78,37946.34,12773,440.45,9487,2024-02-29,-4.2,9.42
2024-03-31,1222083.56,39422.05,14305,461.45,10818,2024-03-31,11.05,11.99
2024-04-30,1126465.81,37548.86,11830,394.33,8880,2024-04-30,-7.82,-17.3
2024-05-31,1254115.88,40455.35,14587,470.55,11256,2024-05-31,11.33,23.31
2024-06-30,1218278.95,40609.3,13260,442.0,9600,2024-06-30,-2.86,-9.1
2024-07-31,1267822.12,40897.49,13811,445.52,10813,2024-07-31,4.07,4.16
2024-08-31,1265490.9,40822.29,12558,405.1,9409,2024-08-31,-0.18,-9.07
2024-09-30,1209242.3,40308.08,13356,445.2,9972,2024-09-30,-4.44,6.35
2024-10-31,1264443.22,40788.49,14259,459.97,11055,2024-10-31,4.56,6.76
2024-11-30,1265211.56,42173.72,14473,482.43,10731,2024-11-30,0.06,1.5
2024-12-31,1252318.98,41743.97,13062,435.4,10173,2024-12-31,-1.02,-9.75
